Date,Open,High,Low,Close,Volume,pct_change,log_return,MA7,MA14,MA30,EMA12,EMA26,RSI14,MACD,MACD_Signal,rolling_std14,hl_spread,volume_change,volume_ma,price_up,avg_sentiment,news_count,positive_news,negative_news
2021-06-17,8.89285659790039,9.14285659790039,8.585714340209961,8.931427955627441,26008,0.004337341696947883,0.00432796254107249,9.052448681422643,8.938639163970947,8.717793401082357,8.94829347130899,8.818538530235715,59.395466546085736,0.09070295755969937,0.09731819312480205,0.19118144495202755,0.062379975571475114,0.2323146173892443,278084.6,1,0.0,0,0,0
2021-06-20,8.931427955627441,9.04857063293457,8.31714153289795,9.002857208251953,40411,0.007997517639887208,0.007965706987302468,9.02972766331264,8.961292266845703,8.736777528127034,8.956687892377138,8.832191765644327,61.49861794875518,0.0870414581851211,0.09526080860192421,0.17718371646189962,0.08124410763354088,0.5537911411873271,280094.65,1,0.0,0,0,0
2021-06-21,9.002857208251953,9.114285469055176,8.857142448425293,9.051427841186523,13916,0.005395024247419,0.005380523236260624,9.026530402047294,8.986734390258789,8.75738067626953,8.971263269117044,8.848431474943748,62.55872633293476,0.08674895631687463,0.09355708831863944,0.16086312579221212,0.028409111263066174,-0.6556383163000173,280265.05,1,0.0,0,0,0
2021-06-22,9.051427841186523,9.714284896850586,8.371427536010742,9.254284858703613,172907,0.022411604122173356,0.022164154461478697,9.021700314113072,9.024965694972447,8.788079071044923,9.014805052130361,8.878494688555591,66.75609412394132,0.10054000329271062,0.09495455706450093,0.15587567212454514,0.14510655132653416,11.425050301810865,288440.45,0,0.0,0,0,0
2021-06-23,9.254284858703613,9.520000457763672,8.857142448425293,9.074284553527832,36855,-0.019450482443977513,-0.019642132269052693,9.02687018258231,9.048128877367292,8.812777455647787,9.02395574465305,8.892997641516498,59.28547827297975,0.09675928452130655,0.09531568566981938,0.13450155309939787,0.07304796377370357,-0.7868507347880652,289516.7,0,0.0,0,0,0
2021-06-24,9.074284553527832,9.297142028808594,8.8628568649292,9.074284553527832,3328,0.0,0.0,9.040203366960798,9.069421359470912,8.83747584025065,9.031698638326093,8.906426301665485,58.66553408743741,0.0926873977206899,0.09478981476141021,0.1093915915470661,0.04785888753186128,-0.9097001763668431,289634.6,1,0.0,0,0,0
2021-06-27,9.074284553527832,9.528571128845215,9.04857063293457,9.505714416503906,2212070,0.04754422901674893,0.04644859532778378,9.127754483904157,9.098571028028216,8.874094931284587,9.104624142661141,8.950818013875738,61.1501294754226,0.12087873409537586,0.10000929244555226,0.1601022367891769,0.05049599376531483,663.6844951923077,399842.5,1,0.0,0,0,0
2021-06-28,9.505714416503906,9.525713920593262,9.028571128845215,9.517142295837402,3459505,0.0012022115153864643,0.001201489437791325,9.211427961077009,9.131938321249825,8.912444146474202,9.168088473919028,8.992767960687713,63.02093412470733,0.14240738587865032,0.10849111313871886,0.1942403256330758,0.0522365618054788,0.563922027783931,572656.3,0,0.0,0,0,0
2021-06-29,9.517142295837402,9.5,8.928570747375488,9.485713958740234,2540793,-0.00330228719086334,-0.0033077517749426502,9.280407496861049,9.155067580086845,8.950856844584147,9.21695393312229,9.029282479061974,59.44968253270272,0.15523312491884944,0.11784145748528806,0.21612865050990349,0.060241037744764685,-0.2655616916292938,698940.2,0,0.0,0,0,0
2021-06-30,9.485713958740234,9.471427917480469,9.399999618530273,9.425713539123535,92018,-0.006325345659555115,-0.006345435419669167,9.333876882280622,9.180203642163958,8.979333019256591,9.24907079558402,9.058647742770239,60.440789246580415,0.15892009457166445,0.1260585502012736,0.2261809075927294,0.007578025648001731,-0.9637837478299098,699244.3,0,0.0,0,0,0
