stock,sentiment,timestamp
CIB,-0.296,2026-04-30T01:46:01.383623
CIB,0.0,2026-04-30T01:46:01.388962
CIB,0.0,2026-04-30T01:46:01.394183
CIB,-0.101,2026-04-30T01:46:01.399072
CIB,-0.872,2026-04-30T01:46:01.404307
CIB,-0.5664,2026-04-30T01:46:01.409807
CIB,0.5719,2026-04-30T01:46:01.414927
CIB,0.0516,2026-04-30T01:46:01.420289
CIB,0.4939,2026-04-30T01:46:01.425203
CIB,0.9274,2026-04-30T01:46:01.430173
FAISAL,0.5719,2026-04-30T01:46:02.049785
FAISAL,0.0516,2026-04-30T01:46:02.061655
FAISAL,0.4939,2026-04-30T01:46:02.072189
FAISAL,0.9274,2026-04-30T01:46:02.078942
FAISAL,-0.9231,2026-04-30T01:46:02.085460
FAISAL,0.6705,2026-04-30T01:46:02.091161
FAISAL,0.6486,2026-04-30T01:46:02.097147
FAISAL,0.6361,2026-04-30T01:46:02.102676
HDB,0.5719,2026-04-30T01:46:02.651215
HDB,0.0516,2026-04-30T01:46:02.656826
HDB,0.4939,2026-04-30T01:46:02.662217
HDB,0.9274,2026-04-30T01:46:02.667873
HDB,-0.9231,2026-04-30T01:46:02.673425
HDB,0.6705,2026-04-30T01:46:02.678461
HDB,0.6486,2026-04-30T01:46:02.683663
HDB,0.6361,2026-04-30T01:46:02.689415
ADIB,0.5719,2026-04-30T01:46:03.267601
ADIB,0.0516,2026-04-30T01:46:03.274161
ADIB,0.4939,2026-04-30T01:46:03.280512
ADIB,0.9274,2026-04-30T01:46:03.287135
ADIB,-0.9231,2026-04-30T01:46:03.293460
ADIB,0.6705,2026-04-30T01:46:03.298894
ADIB,0.6486,2026-04-30T01:46:03.304562
ADIB,0.6361,2026-04-30T01:46:03.310796
CIB,-0.296,2026-04-30T01:46:33.901695
CIB,0.0,2026-04-30T01:46:33.923637
CIB,0.0,2026-04-30T01:46:33.939036
CIB,-0.101,2026-04-30T01:46:33.947172
CIB,-0.872,2026-04-30T01:46:33.953751
CIB,-0.5664,2026-04-30T01:46:33.960073
CIB,0.5719,2026-04-30T01:46:33.965736
CIB,0.0516,2026-04-30T01:46:33.971726
CIB,0.4939,2026-04-30T01:46:33.978222
CIB,0.9274,2026-04-30T01:46:33.984918
FAISAL,0.5719,2026-04-30T01:46:34.522180
FAISAL,0.0516,2026-04-30T01:46:34.527236
FAISAL,0.4939,2026-04-30T01:46:34.533648
FAISAL,0.9274,2026-04-30T01:46:34.539245
FAISAL,-0.9231,2026-04-30T01:46:34.544807
FAISAL,0.6705,2026-04-30T01:46:34.550102
FAISAL,0.6486,2026-04-30T01:46:34.554984
FAISAL,0.6361,2026-04-30T01:46:34.560019
HDB,0.5719,2026-04-30T01:46:35.105483
HDB,0.0516,2026-04-30T01:46:35.110600
HDB,0.4939,2026-04-30T01:46:35.116186
HDB,0.9274,2026-04-30T01:46:35.122205
HDB,-0.9231,2026-04-30T01:46:35.127364
HDB,0.6705,2026-04-30T01:46:35.132599
HDB,0.6486,2026-04-30T01:46:35.137735
HDB,0.6361,2026-04-30T01:46:35.142902
ADIB,0.5719,2026-04-30T01:46:35.696133
ADIB,0.0516,2026-04-30T01:46:35.701563
ADIB,0.4939,2026-04-30T01:46:35.706841
ADIB,0.9274,2026-04-30T01:46:35.712314
ADIB,-0.9231,2026-04-30T01:46:35.717291
ADIB,0.6705,2026-04-30T01:46:35.722315
ADIB,0.6486,2026-04-30T01:46:35.727443
ADIB,0.6361,2026-04-30T01:46:35.732604
CIB,-0.296,2026-04-30T01:47:06.367518
CIB,0.0,2026-04-30T01:47:06.373090
CIB,0.0,2026-04-30T01:47:06.378379
CIB,-0.101,2026-04-30T01:47:06.383940
CIB,-0.872,2026-04-30T01:47:06.390128
CIB,-0.5664,2026-04-30T01:47:06.395901
CIB,0.5719,2026-04-30T01:47:06.401608
CIB,0.0516,2026-04-30T01:47:06.407057
CIB,0.4939,2026-04-30T01:47:06.413028
CIB,0.9274,2026-04-30T01:47:06.418645
FAISAL,0.5719,2026-04-30T01:47:06.965947
FAISAL,0.0516,2026-04-30T01:47:06.971904
FAISAL,0.4939,2026-04-30T01:47:06.977211
FAISAL,0.9274,2026-04-30T01:47:06.982809
FAISAL,-0.9231,2026-04-30T01:47:06.988718
FAISAL,0.6705,2026-04-30T01:47:06.994235
FAISAL,0.6486,2026-04-30T01:47:06.999619
FAISAL,0.6361,2026-04-30T01:47:07.004970
HDB,0.5719,2026-04-30T01:47:07.581056
HDB,0.0516,2026-04-30T01:47:07.587010
HDB,0.4939,2026-04-30T01:47:07.592633
HDB,0.9274,2026-04-30T01:47:07.597914
HDB,-0.9231,2026-04-30T01:47:07.602912
HDB,0.6705,2026-04-30T01:47:07.607891
HDB,0.6486,2026-04-30T01:47:07.612902
HDB,0.6361,2026-04-30T01:47:07.617861
ADIB,0.5719,2026-04-30T01:47:08.185878
ADIB,0.0516,2026-04-30T01:47:08.192271
ADIB,0.4939,2026-04-30T01:47:08.198512
ADIB,0.9274,2026-04-30T01:47:08.204468
ADIB,-0.9231,2026-04-30T01:47:08.209953
ADIB,0.6705,2026-04-30T01:47:08.215580
ADIB,0.6486,2026-04-30T01:47:08.221265
ADIB,0.6361,2026-04-30T01:47:08.227426
CIB,-0.296,2026-04-30T01:47:38.828766
CIB,0.0,2026-04-30T01:47:38.834348
CIB,0.0,2026-04-30T01:47:38.840101
CIB,-0.101,2026-04-30T01:47:38.862525
CIB,-0.872,2026-04-30T01:47:38.881059
CIB,-0.5664,2026-04-30T01:47:38.896034
CIB,0.5719,2026-04-30T01:47:38.907680
CIB,0.0516,2026-04-30T01:47:38.918856
CIB,0.4939,2026-04-30T01:47:38.925880
CIB,0.9274,2026-04-30T01:47:38.931796
FAISAL,0.5719,2026-04-30T01:47:39.446104
FAISAL,0.0516,2026-04-30T01:47:39.453267
FAISAL,0.4939,2026-04-30T01:47:39.458394
FAISAL,0.9274,2026-04-30T01:47:39.463448
FAISAL,-0.9231,2026-04-30T01:47:39.468272
FAISAL,0.6705,2026-04-30T01:47:39.472966
FAISAL,0.6486,2026-04-30T01:47:39.477740
FAISAL,0.6361,2026-04-30T01:47:39.482491
HDB,0.5719,2026-04-30T01:47:40.083473
HDB,0.0516,2026-04-30T01:47:40.092229
HDB,0.4939,2026-04-30T01:47:40.097950
HDB,0.9274,2026-04-30T01:47:40.103341
HDB,-0.9231,2026-04-30T01:47:40.114384
HDB,0.6705,2026-04-30T01:47:40.127645
HDB,0.6486,2026-04-30T01:47:40.141806
HDB,0.6361,2026-04-30T01:47:40.153717
ADIB,0.5719,2026-04-30T01:47:40.739302
ADIB,0.0516,2026-04-30T01:47:40.744619
ADIB,0.4939,2026-04-30T01:47:40.749772
ADIB,0.9274,2026-04-30T01:47:40.754769
ADIB,-0.9231,2026-04-30T01:47:40.759931
ADIB,0.6705,2026-04-30T01:47:40.764778
ADIB,0.6486,2026-04-30T01:47:40.769733
ADIB,0.6361,2026-04-30T01:47:40.774732
CIB,-0.296,2026-04-30T01:48:11.317003
CIB,0.0,2026-04-30T01:48:11.322770
CIB,0.0,2026-04-30T01:48:11.328194
CIB,-0.101,2026-04-30T01:48:11.333721
CIB,-0.872,2026-04-30T01:48:11.339059
CIB,-0.5664,2026-04-30T01:48:11.344164
CIB,0.5719,2026-04-30T01:48:11.349272
CIB,0.0516,2026-04-30T01:48:11.354487
CIB,0.4939,2026-04-30T01:48:11.359722
CIB,0.9274,2026-04-30T01:48:11.365239
FAISAL,0.5719,2026-04-30T01:48:11.906952
FAISAL,0.0516,2026-04-30T01:48:11.912381
FAISAL,0.4939,2026-04-30T01:48:11.917643
FAISAL,0.9274,2026-04-30T01:48:11.924205
FAISAL,-0.9231,2026-04-30T01:48:11.930043
FAISAL,0.6705,2026-04-30T01:48:11.935857
FAISAL,0.6486,2026-04-30T01:48:11.941652
FAISAL,0.6361,2026-04-30T01:48:11.947297
HDB,0.5719,2026-04-30T01:48:12.595872
HDB,0.0516,2026-04-30T01:48:12.608672
HDB,0.4939,2026-04-30T01:48:12.620198
HDB,0.9274,2026-04-30T01:48:12.626233
HDB,-0.9231,2026-04-30T01:48:12.631963
HDB,0.6705,2026-04-30T01:48:12.637547
HDB,0.6486,2026-04-30T01:48:12.642650
HDB,0.6361,2026-04-30T01:48:12.647763
ADIB,0.5719,2026-04-30T01:48:13.275570
ADIB,0.0516,2026-04-30T01:48:13.281281
ADIB,0.4939,2026-04-30T01:48:13.286373
ADIB,0.9274,2026-04-30T01:48:13.291568
ADIB,-0.9231,2026-04-30T01:48:13.296595
ADIB,0.6705,2026-04-30T01:48:13.301643
ADIB,0.6486,2026-04-30T01:48:13.306653
ADIB,0.6361,2026-04-30T01:48:13.312134
CIB,-0.296,2026-04-30T01:48:43.881481
CIB,0.0,2026-04-30T01:48:43.886727
CIB,0.0,2026-04-30T01:48:43.891475
CIB,-0.101,2026-04-30T01:48:43.896589
CIB,-0.872,2026-04-30T01:48:43.901683
CIB,-0.5664,2026-04-30T01:48:43.906640
CIB,0.5719,2026-04-30T01:48:43.911784
CIB,0.0516,2026-04-30T01:48:43.916863
CIB,0.4939,2026-04-30T01:48:43.922291
CIB,0.9274,2026-04-30T01:48:43.927877
FAISAL,0.5719,2026-04-30T01:48:44.492884
FAISAL,0.0516,2026-04-30T01:48:44.499325
FAISAL,0.4939,2026-04-30T01:48:44.505033
FAISAL,0.9274,2026-04-30T01:48:44.511337
FAISAL,-0.9231,2026-04-30T01:48:44.516761
FAISAL,0.6705,2026-04-30T01:48:44.521966
FAISAL,0.6486,2026-04-30T01:48:44.527848
FAISAL,0.6361,2026-04-30T01:48:44.533059
HDB,0.5719,2026-04-30T01:48:45.148079
HDB,0.0516,2026-04-30T01:48:45.153900
HDB,0.4939,2026-04-30T01:48:45.160471
HDB,0.9274,2026-04-30T01:48:45.166717
HDB,-0.9231,2026-04-30T01:48:45.172822
HDB,0.6705,2026-04-30T01:48:45.178748
HDB,0.6486,2026-04-30T01:48:45.185945
HDB,0.6361,2026-04-30T01:48:45.196814
ADIB,0.5719,2026-04-30T01:48:45.766639
ADIB,0.0516,2026-04-30T01:48:45.773244
ADIB,0.4939,2026-04-30T01:48:45.779100
ADIB,0.9274,2026-04-30T01:48:45.786157
ADIB,-0.9231,2026-04-30T01:48:45.792070
ADIB,0.6705,2026-04-30T01:48:45.797823
ADIB,0.6486,2026-04-30T01:48:45.803174
ADIB,0.6361,2026-04-30T01:48:45.808553
CIB,-0.296,2026-04-30T01:49:16.359004
CIB,0.0,2026-04-30T01:49:16.364175
CIB,0.0,2026-04-30T01:49:16.369407
CIB,-0.101,2026-04-30T01:49:16.374646
CIB,-0.872,2026-04-30T01:49:16.379634
CIB,-0.5664,2026-04-30T01:49:16.384688
CIB,0.5719,2026-04-30T01:49:16.389635
CIB,0.0516,2026-04-30T01:49:16.394672
CIB,0.4939,2026-04-30T01:49:16.400040
CIB,0.9274,2026-04-30T01:49:16.406144
FAISAL,0.5719,2026-04-30T01:49:16.976384
FAISAL,0.0516,2026-04-30T01:49:16.986146
FAISAL,0.4939,2026-04-30T01:49:16.995176
FAISAL,0.9274,2026-04-30T01:49:17.001424
FAISAL,-0.9231,2026-04-30T01:49:17.006358
FAISAL,0.6705,2026-04-30T01:49:17.011322
FAISAL,0.6486,2026-04-30T01:49:17.016229
FAISAL,0.6361,2026-04-30T01:49:17.021299
HDB,0.5719,2026-04-30T01:49:17.608479
HDB,0.0516,2026-04-30T01:49:17.614639
HDB,0.4939,2026-04-30T01:49:17.620220
HDB,0.9274,2026-04-30T01:49:17.625454
HDB,-0.9231,2026-04-30T01:49:17.630541
HDB,0.6705,2026-04-30T01:49:17.635514
HDB,0.6486,2026-04-30T01:49:17.640620
HDB,0.6361,2026-04-30T01:49:17.645624
ADIB,0.5719,2026-04-30T01:49:18.194053
ADIB,0.0516,2026-04-30T01:49:18.199142
ADIB,0.4939,2026-04-30T01:49:18.204475
ADIB,0.9274,2026-04-30T01:49:18.209773
ADIB,-0.9231,2026-04-30T01:49:18.214760
ADIB,0.6705,2026-04-30T01:49:18.219708
ADIB,0.6486,2026-04-30T01:49:18.224677
ADIB,0.6361,2026-04-30T01:49:18.229682
CIB,-0.296,2026-04-30T01:49:48.864522
CIB,0.0,2026-04-30T01:49:48.874472
CIB,0.0,2026-04-30T01:49:48.885175
CIB,-0.101,2026-04-30T01:49:48.895730
CIB,-0.872,2026-04-30T01:49:48.907258
CIB,-0.5664,2026-04-30T01:49:48.913043
