Date,Open,High,Low,Close,Volume,pct_change,log_return,MA7,MA14,MA30,EMA12,EMA26,RSI14,MACD,MACD_Signal,rolling_std14,hl_spread,volume_change,volume_ma,price_up,avg_sentiment,news_count,positive_news,negative_news
2021-06-17,24.707361221313477,24.812055587768555,24.278623580932617,24.532875061035156,7933950,-0.007062112328199643,-0.007087167072764349,24.80920546395438,25.457656587873185,27.207678349812827,25.343840364214334,26.395736437161986,15.202181360255281,-0.7828742795054744,-0.7103932713609346,0.8119647658685826,0.021743558613037242,3.214026518684391,6202371.8,0,0.0,0,0,0
2021-06-20,24.532875061035156,24.62261199951172,24.328475952148438,24.438154220581055,338155,-0.003860975944256273,-0.003868448752968682,24.70522553580148,25.287086623055593,27.053631273905435,25.2045040344246,26.25073034704488,15.638398603567381,-0.7834240748717889,-0.7250139116439105,0.7509002784543054,0.012035935476484103,-0.9573787331656993,6179318.85,1,0.0,0,0,0
2021-06-21,24.438154220581055,25.549884796142578,24.433168411254883,25.290647506713867,5235438,0.03488370187200429,0.034289055062815856,24.778581346784318,25.181326048714773,26.916368166605633,25.217756876315253,26.179613099612954,32.672079200495006,-0.7120385989372799,-0.722416791451978,0.6183481921602898,0.044155310163223084,14.482361638893407,6291034.8,1,0.0,0,0,0
2021-06-22,25.290647506713867,25.769241333007812,25.42026710510254,25.55487060546875,3881888,0.010447462789742401,0.010393265208353186,24.91247340611049,25.126487186976842,26.78076680501302,25.269620526954252,26.133335877824493,40.60972986692808,-0.6284509790304789,-0.7036117098311762,0.5381951273534582,0.013655879276124876,-0.2585361530401086,6411026.5,1,0.0,0,0,0
2021-06-23,25.55487060546875,25.913816452026367,25.42525291442871,25.75926971435547,5502060,0.007998440377271043,0.0079666224032091,25.024287632533483,25.10512134007045,26.644002215067545,25.344951171169825,26.105627273123083,46.28710855376549,-0.5406271701465215,-0.6709982649130348,0.503149992203354,0.01896651353145245,0.417367013164728,6239637.45,1,0.0,0,0,0
2021-06-24,25.75926971435547,26.048419952392578,25.524959564208984,25.829065322875977,2988367,0.0027095336666944636,0.002705869497649582,25.158891950334823,25.08553613935198,26.504911168416342,25.41943027143231,26.08514120273441,46.617477230395366,-0.46049003452178283,-0.628879533447513,0.46521513652335394,0.020266331035989196,-0.4568639745840649,3976710.65,1,0.0,0,0,0
2021-06-27,25.829065322875977,26.173053741455078,25.824079513549805,25.988595962524414,1290707,0.006176400022773754,0.006157404241057957,25.341925484793528,25.110818999154226,26.37346426645915,25.50699422390802,26.077989703459593,54.72704310751942,-0.3805062881636907,-0.5791887588124338,0.5052481453980827,0.013427975424624504,-0.5680895284949941,3841030.65,0,0.0,0,0,0
2021-06-28,25.988595962524414,26.173053741455078,25.435222625732422,25.799152374267578,1169357,-0.007289489148625594,-0.007316187297683216,25.52282224382673,25.166013853890554,26.274588267008465,25.551941631655644,26.057335086482407,61.619193586688795,-0.32786105915474195,-0.5289101658118711,0.5365569530303275,0.028599044845309684,-0.09401823961596245,3739313.2,0,0.0,0,0,0
2021-06-29,25.799152374267578,25.794166564941406,24.981555938720703,25.33551597595215,2475620,-0.017970993449298978,-0.018134432824913276,25.651016780308314,25.178121158054896,26.165409278869628,25.51864537693203,26.003867004220908,52.32241379670804,-0.31805931676864674,-0.4867312357821907,0.5384659466393704,0.032073971850110065,1.1170780180902837,3668239.55,1,0.0,0,0,0
2021-06-30,25.33551597595215,26.173053741455078,25.17598533630371,26.00853729248047,4909950,0.02656434221300774,0.026217636674678444,25.753572463989258,25.26607690538679,26.083483441670737,25.594013363939485,26.004212951499394,65.65274272979248,-0.2555011801114979,-0.44047753943454043,0.5677082172370258,0.038336196839475374,0.9833213498032816,3596416.7,1,0.0,0,0,0
